id,lemma,pronunciation
1060,ἄδδιξ,
1061,ἄδε,
1066,ἄδεια,
1067,ἄδεια,
1068,Ἀδειγάνες,
1075,ἁδεῖν,
1077,ἀδεισία,
1078,ἀδεισιβόας,
1079,ἀδεισιδαιμονία,
1085,ἀδέλεσχος,
1086,ἀδελφεά,
1088,ἀδελφή,/a.del.pʰɛ̌ː/
1089,ἀδελφιδέος,
1090,ἀδελφιδῆ,
1091,ἀδελφιδῆς,
1092,ἀδελφίδιον,
1095,ἀδέλφιξις,
1096,ἀδέλφιον,
1097,ἀδελφίς,
1098,ἀδελφοδότης,
1102,ἀδελφοκτονία,
1103,ἀδελφομιξία,
1104,ἀδελφόπαις,
1108,ἀδελφότης,/a.del.pʰó.tɛːs/
1121,ἀδετοχίτων,
1127,ἅδηκε,
1131,ἀδηλία,
1135,ἀδηλότης,/á.dɛː.ló.tɛːs/
1138,ἅδημα,
1142,ἀδημονία,
1144,ἀδημοσύνη,
1147,ἀδήν,/a.dɛ̌ːn/
1149,ἄδηρις,
1153,ἀδηφαγία,
1177,ἀδιακρισία,
1184,ἀδιαληψία,
1191,ἀδιανοησία,
1201,ἀδιαπνευστία,
1206,ἀδιαπτωσία,
1213,ἀδιάρροια,
1221,ἀδιαστασία,
1234,ἀδιατρεψία,
1242,ἀδιαφορία,
1269,ἀδίκευσις,
1271,ἀδίκη,
1272,ἀδίκημα,/a.dí.kɛː.ma/
1274,ἀδικητής,
1277,ἀδικία,/a.di.kí.aː/
1278,ἀδίκιον,
1280,ἀδικοδοξία,
1281,ἀδικοκρισία,
1283,ἀδικομαχία,
1288,ἀδικοπράγημα,
1292,ἀδικόχειρ,
1295,ἅδιξις,
1297,ἀδιοικησία,
1303,ἀδιοριστία,
1305,ἀδιούνιος,
1307,ἀδίπλαστος,
1316,ἀδμής,
1317,ἀδμῆτις,
1319,ᾳδμολίη,
1320,ἄδμωνες,
1322,Ἁιδοβάτης,
1329,ἀδολέσχης,
1330,ἀδολεσχία,
1331,ἀδολεσχικός,
